Item Name,Unit Price
Normal Bread,100
Sandwich Bread (L),260
Sandwich Bread (S),200
Roast Bread,45
Hot Dog,200
Burger,150
Drumstick Bun,150
Cheese Burger Omelet,100
Deval Bun,
Egg Bun,100
Sausage Bun,100
Sausage Pastry,130
Fish Pastry,110
Chicken Pastry,
Chocolate Pastry,130
Sausages Bun(S),80
Egg Pizza,120
Senisambal Bun,80
Fish Bun,90
Garlic Bun,
Polpani Jam Bun,80
Viyan Roll,60
Jam Pass,70
Tea Bun,
Cream Bun,
Jam Bun,80
Spanichi,
Donut,
Egg Roll,130
Fish Roll,120
Chinese Roll,
Cutlet,60
Patis,70
Sandwich Piece,
Ada 70/-,50
Tea Cake,50
Cookies,
Butter Cake,
Chocolate Cake,
Ribbon Cake,
Fruit Cake,
Cake Pieces,
Chicken Bun,150
Mushroom Bun,
Wade,30
